year,state,district,total_cases,total_deaths
2000,Andaman And Nicobar Islands,Andaman,530,0
2000,Andaman And Nicobar Islands,Nicobars,472,1
2000,Andhra Pradesh,Adilabad,1798,2
2000,Andhra Pradesh,Anantapur,1301,0
2000,Andhra Pradesh,Chittoor,291,1
2000,Andhra Pradesh,East Godavari,19693,0
2000,Andhra Pradesh,Guntur,1501,0
2000,Andhra Pradesh,Hyderabad,802,0
2000,Andhra Pradesh,Karimnagar,1801,0
2000,Andhra Pradesh,Khammam,5493,1
2000,Andhra Pradesh,Krishna,10007,0
2000,Andhra Pradesh,Kurnool,4802,0
2000,Andhra Pradesh,Mahabubnagar,199,0
2000,Andhra Pradesh,Medak,32,0
2000,Andhra Pradesh,Nalgonda,51,0
2000,Andhra Pradesh,Nizamabad,503,0
2000,Andhra Pradesh,Prakasam,1402,0
2000,Andhra Pradesh,Ranga Reddy,401,0
2000,Andhra Pradesh,SPSR Nellore,1106,0
2000,Andhra Pradesh,Srikakulam,4201,0
2000,Andhra Pradesh,Visakhapatanam,16163,2
2000,Andhra Pradesh,Vizianagaram,5603,0
2000,Andhra Pradesh,Warangal,1203,0
2000,Andhra Pradesh,West Godavari,605,0
2000,Andhra Pradesh,Y.S.R.,1599,0
2000,Arunachal Pradesh,Changlang,6262,0
2000,Arunachal Pradesh,Dibang Valley,5272,0
2000,Arunachal Pradesh,East Kameng,1937,0
2000,Arunachal Pradesh,East Siang,10009,0
2000,Arunachal Pradesh,Lohit,3893,0
2000,Arunachal Pradesh,Lower Subansiri,273,0
2000,Arunachal Pradesh,Papum Pare,3708,0
2000,Arunachal Pradesh,Tirap,3122,0
2000,Arunachal Pradesh,Upper Siang,474,0
2000,Arunachal Pradesh,Upper Subansiri,652,0
2000,Arunachal Pradesh,West Kameng,452,0
2000,Arunachal Pradesh,West Siang,10111,0
2000,Assam,Barpeta,1335,1
2000,Assam,Bongaigaon,2649,0
2000,Assam,Cachar,3896,1
2000,Assam,Darrang,15594,0
2000,Assam,Dhemaji,826,0
2000,Assam,Dhubri,2072,1
2000,Assam,Dibrugarh,70,0
2000,Assam,Dima Hasao,3490,1
2000,Assam,Goalpara,5178,0
2000,Assam,Golaghat,157,0
2000,Assam,Hailakandi,5216,0
2000,Assam,Jorhat,214,0
2000,Assam,Kamrup,7063,0
2000,Assam,Karbi Anglong,16679,20
2000,Assam,Karimganj,477,0
2000,Assam,Kokrajhar,3688,2
2000,Assam,Lakhimpur,2017,0
2000,Assam,Marigaon,481,1
2000,Assam,Nagaon,4724,4
2000,Assam,Nalbari,1516,1
2000,Assam,Sivasagar,47,1
2000,Assam,Sonitpur,6089,10
2000,Assam,Tinsukia,1437,0
2000,Bihar,Araria,0,0
2000,Bihar,Aurangabad,2052,0
2000,Bihar,Banka,0,0
2000,Bihar,Begusarai,0,0
2000,Bihar,Bhagalpur,32,0
2000,Bihar,Bhojpur,11,0
2000,Bihar,Buxar,0,0
2000,Bihar,Darbhanga,0,0
2000,Bihar,Gaya,1436,0
2000,Bihar,Gopalganj,7,0
2000,Bihar,Jamui,1514,0
2000,Bihar,Jehanabad,0,0
2000,Bihar,Kaimur (Bhabua),850,0
2000,Bihar,Katihar,0,0
2000,Bihar,Khagaria,0,0
2000,Bihar,Kishanganj,0,0
2000,Bihar,Lakhisarai,3,0
2000,Bihar,Madhepura,0,0
2000,Bihar,Madhubani,0,0
2000,Bihar,Munger,21,0
2000,Bihar,Muzaffarpur,86,0
2000,Bihar,Nalanda,4,0
2000,Bihar,Nawada,2712,1
2000,Bihar,Pashchim Champaran,4,0
2000,Bihar,Patna,263,1
2000,Bihar,Purbi Champaran,1,0
2000,Bihar,Purnia,7,0
2000,Bihar,Rohtas,466,0
2000,Bihar,Saharsa,0,0
2000,Bihar,Samastipur,9,0
2000,Bihar,Saran,21,0
2000,Bihar,Sheikhpura,0,0
2000,Bihar,Sheohar,0,0
2000,Bihar,Sitamarhi,1,0
2000,Bihar,Siwan,9,0
2000,Bihar,Supaul,0,0
2000,Bihar,Vaishali,0,0
2000,Chandigarh,Chandigarh,256,0
2000,Chhattisgarh,Bastar,37883,18
2000,Chhattisgarh,Bilaspur,14606,1
2000,Chhattisgarh,Dantewada,20569,4
2000,Chhattisgarh,Dhamtari,17327,0
2000,Chhattisgarh,Durg,8463,0
2000,Chhattisgarh,Janjgir-Champa,5303,7
2000,Chhattisgarh,Jashpur,43047,0
2000,Chhattisgarh,Kabirdham,1432,0
2000,Chhattisgarh,Kanker,69931,7
2000,Chhattisgarh,Korba,26210,9
2000,Chhattisgarh,Korea,11035,3
2000,Chhattisgarh,Mahasamund,10523,3
2000,Chhattisgarh,Raigarh,28007,6
2000,Chhattisgarh,Raipur,11415,3
2000,Chhattisgarh,RajnandGaon,11765,0
2000,Chhattisgarh,Surguja,41639,2
2000,D & N Haveli,Dadra And Nagar Haveli,2415,0
2000,Daman & Diu,Daman,116,0
2000,Daman & Diu,Diu,16,0
2000,Delhi,New Delhi,2631,0
2000,Goa,Goa,9164,11
2000,Gujarat,Ahmadabad,910,0
2000,Gujarat,Ahmadabad MC#,1075,2
2000,Gujarat,Amreli,746,0
2000,Gujarat,Banas kantha,513,0
2000,Gujarat,Bharuch,1936,0
2000,Gujarat,Bhavnagar,519,0
2000,Gujarat,Dang,368,0
2000,Gujarat,Gandhinagar,480,0
2000,Gujarat,Jamnagar,1119,0
2000,Gujarat,Junagadh,2460,0
2000,Gujarat,Kachchh,2580,0
2000,Gujarat,Kheda,2671,0
2000,Gujarat,Mahesana,673,0
2000,Gujarat,Panch Mahals,4330,0
2000,Gujarat,Rajkot,643,0
2000,Gujarat,Sabar kantha,839,0
2000,Gujarat,Surat,9498,0
2000,Gujarat,Surendranagar,1395,0
2000,Gujarat,Vadodara,3152,0
2000,Gujarat,Valsad,805,0
2000,Haryana,Ambala,29,0
2000,Haryana,Bhiwani,45,0
2000,Haryana,Faridabad,410,0
2000,Haryana,Fatehabad,7,0
2000,Haryana,Gurugram,93,0
2000,Haryana,Hisar,15,0
2000,Haryana,Jhajjar,68,0
2000,Haryana,Jind,12,0
2000,Haryana,Kaithal,2,0
2000,Haryana,Karnal,3,0
2000,Haryana,Kurukshetra,1,0
2000,Haryana,Mahendragarh,162,0
2000,Haryana,Panchkula,44,0
2000,Haryana,Panipat,3,0
2000,Haryana,Rewari,57,0
2000,Haryana,Rohtak,24,0
2000,Haryana,Sirsa,3,0
2000,Haryana,Sonipat,55,0
2000,Haryana,Yamunanagar,17,0
2000,Himachal Pradesh,Bilaspur,29,0
2000,Himachal Pradesh,Chamba,14,0
2000,Himachal Pradesh,Hamirpur,33,0
2000,Himachal Pradesh,Kangra,191,0
2000,Himachal Pradesh,Kullu,29,0
2000,Himachal Pradesh,Mandi,74,0
2000,Himachal Pradesh,Shimla,46,0
2000,Himachal Pradesh,Sirmaur,29,0
2000,Himachal Pradesh,Solan,18,0
2000,Himachal Pradesh,Una,28,0
2000,Jammu And Kashmir,Baramulla,5,0
2000,Jammu And Kashmir,Doda,231,0
2000,Jammu And Kashmir,Jammu,347,0
2000,Jammu And Kashmir,Kargil,0,0
2000,Jammu And Kashmir,Kathua,84,0
2000,Jammu And Kashmir,Leh Ladakh,0,0
2000,Jammu And Kashmir,Poonch,477,0
2000,Jammu And Kashmir,Rajouri,1748,0
2000,Jammu And Kashmir,Udhampur,153,0
2000,Jharkhand,Bokaro,3751,0
2000,Jharkhand,Chatra,2497,0
2000,Jharkhand,Deoghar,194,0
2000,Jharkhand,Dhanbad,2283,0
2000,Jharkhand,Dumka,3880,0
2000,Jharkhand,East Singhbum,9149,1
2000,Jharkhand,Garhwa,12760,0
2000,Jharkhand,Giridih,4690,0
2000,Jharkhand,Godda,1531,0
2000,Jharkhand,Gumla,26000,2
2000,Jharkhand,Hazaribagh,9490,0
2000,Jharkhand,Koderma,586,0
2000,Jharkhand,Lohardaga,4167,2
2000,Jharkhand,Pakur,984,0
2000,Jharkhand,Palamu,37414,11
2000,Jharkhand,Ranchi,6327,0
2000,Jharkhand,Sahebganj,2261,0
2000,Jharkhand,West Singhbhum,5489,0
2000,Karnataka,A.M.U. Almatti#,1782,0
2000,Karnataka,A.M.U. B. Gudi#,123,0
2000,Karnataka,A.M.U. Kembhavi#,440,0
2000,Karnataka,Bagalkote,5182,0
2000,Karnataka,Ballari,4192,0
2000,Karnataka,Belagavi,2689,1
2000,Karnataka,Bengaluru Rural,426,0
2000,Karnataka,Bengaluru Urban,278,1
2000,Karnataka,Bidar,1431,0
2000,Karnataka,Chamarajanagara,65,0
2000,Karnataka,Chikkamagaluru,3680,1
2000,Karnataka,Chitradurga,18240,2
2000,Karnataka,Dakshina Kannada,2653,0
2000,Karnataka,Davangere,96,0
2000,Karnataka,Dharwad,206,1
2000,Karnataka,Gadag,337,0
2000,Karnataka,Hassan,3230,0
2000,Karnataka,Haveri,122,0
2000,Karnataka,Kalaburagi,7535,0
2000,Karnataka,Kodagu,48,0
2000,Karnataka,Kolar,4144,0
2000,Karnataka,Koppal,4557,0
2000,Karnataka,Mandya,8517,2
2000,Karnataka,Mysuru,2377,1
2000,Karnataka,Raichur,12194,0
2000,Karnataka,Shivamogga,233,1
2000,Karnataka,Tumakuru,14296,2
2000,Karnataka,U.K.P.N. PURA#,2954,0
2000,Karnataka,Udupi,1186,1
2000,Karnataka,Uttara Kannada,131,0
2000,Karnataka,Vijayapura,5774,1
2000,Kerala,Alappuzha,342,1
2000,Kerala,Ernakulam,118,1
2000,Kerala,Idukki,29,0
2000,Kerala,Kannur,255,1
2000,Kerala,Kasaragod,366,1
2000,Kerala,Kollam,315,0
2000,Kerala,Kottayam,61,1
2000,Kerala,Kozhikode,255,0
2000,Kerala,Malappuram,335,2
2000,Kerala,Palakkad,121,0
2000,Kerala,Pathanamthitta,255,0
2000,Kerala,Thiruvananthapuram,179,1
2000,Kerala,Thrissur,284,1
2000,Kerala,Wayanad,25,0
2000,Lakshadweep,Lakshadweep District,5,0
