year,state,tested,positive,pf,pf_percent,tpr,tfr,deaths,imported_cases,indigenous_cases,category
2024,Andaman And Nicobar Islands,47413,96,46,47.92,0.202,0.1,,,,
2025,Andaman And Nicobar Islands,55701,48,25,52.08,0.086,0.05,0,4,44,Category II
2024,Andhra Pradesh,12364281,7866,6201,78.83,0.064,0.05,,,,
2025,Andhra Pradesh,12892737,7831,6312,80.6,0.061,0.05,8,287,7544,Category II
2024,Arunachal Pradesh,158497,19,2,10.53,0.012,0.0,,,,
2025,Arunachal Pradesh,183940,32,11,34.38,0.017,0.01,0,14,18,Category I
2024,Assam,6510331,5036,1130,22.44,0.077,0.02,,,,
2025,Assam,5828906,3969,514,12.95,0.068,0.01,8,39,3930,Category II
2024,Bihar,225687,906,380,41.94,0.401,0.17,,,,
2025,Bihar,350332,1041,403,38.71,0.297,0.12,0,2,1039,Category I
2024,Chandigarh,70924,2,0,0.0,0.003,0.0,,,,
2025,Chandigarh,86923,65,5,7.69,0.075,0.01,0,10,55,Category I
2024,Chhattisgarh,7835708,31373,27300,87.02,0.4,0.35,,,,
2025,Chhattisgarh,6984779,28836,25304,87.75,0.413,0.36,0,0,28836,Category II
2024,Delhi,224373,910,82,9.01,0.406,0.04,,,,
2025,Delhi,138354,1420,268,18.87,1.026,0.19,3,0,1420,Category I
2024,Goa,406527,884,286,32.35,0.217,0.07,,,,
2025,Goa,457560,448,104,23.21,0.098,0.02,0,448,0,Category I
2024,Gujarat,18109327,4365,698,15.99,0.024,0.0,,,,
2025,Gujarat,15152662,3029,817,26.97,0.02,0.01,0,0,3029,Category I
2024,Haryana,3775769,522,30,5.75,0.014,0.0,,,,
2025,Haryana,3625456,523,28,5.35,0.014,0.0,0,310,213,Category I
2024,Himachal Pradesh,281499,28,2,7.14,0.01,0.0,,,,
2025,Himachal Pradesh,299039,26,7,26.92,0.009,0.0,0,5,21,Category I
2024,Jammu And Kashmir,461482,108,21,19.44,0.023,0.01,,,,
2025,Jammu And Kashmir,425194,124,20,16.13,0.029,0.01,0,12,112,Category I
2024,Jharkhand,6127645,42352,35016,82.68,0.691,0.57,,,,
2025,Jharkhand,6844777,42301,32795,77.53,0.618,0.48,2,0,42301,Category II
